Model,Combinations tested,Best CV macro F1,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,n_estimators,k_neighbors,criterion,C,class_weight,max_iter,solver,tol,leaf_size,n_neighbors,p,weights
Random Forest,96,0.944660273850469,,sqrt,,1.0,2.0,250.0,5,,,,,,,,,,
Decision Tree,432,0.9340717603888727,12.0,,,1.0,4.0,,3,entropy,,,,,,,,,
Logistic Regression,128,0.9525642655421785,,,,,,,3,,100.0,,1000.0,lbfgs,0.0001,,,,
K-Nearest Neighbors,120,0.8735353650699083,,,,,,,3,,,,,,,20.0,3.0,1.0,distance
